video_id,title,channel_name,published_at,views,likes,comments,tags,keywords,video_url,collection_date
xa2TP62S3PY,FREE FIRE LIVE PLAYING BR-RANKED 2X AWM SPEED GAME PLAY   ON LIVE - GARENA FREE FIRE,DAD I AM OK GAMING,2026-07-08 21:37:40,331937,5747,8,"#Dad i am ok Gaming, #free fire, #free fire live, #garena free fire, #free fire max, #free fire diamond, #free fire max live, #free fire gameplay, #gaming live, #gaming prank, #gaming challenges, #gaming vlog, #gaming funny videos, #gaming id, #free fire dad i am ok gaming, #dadiamokgaming, #HINDIGAMING, #trendingvideo, #gamingvideo, #gamer, #livestreamer, shortsvideo, viralshorts, shorts","free, fire, live, playing, ranked, awm, speed, game",https://www.youtube.com/watch?v=xa2TP62S3PY,2026-07-09
oYN7EdLNqFM,Flatbed Truck Mcqueen | Transportation with Truck - Pothole vs Car # - BeamNG.Drive,BNG MUSTAFA,2026-07-08 03:00:06,328012,2423,258,No Tags,"flatbed, truck, mcqueen, transportation, pothole, car, beamng, drive",https://www.youtube.com/watch?v=oYN7EdLNqFM,2026-07-09
A9umwwTC3pQ,RIVALS BUT SKIN CASES PICK MY LOADOUT | ROBLOX,GamerBlox,2026-07-08 03:30:39,315635,15733,948,"roblox, funny, no swearing, blade ball, roblox blade ball, roblox kick a lucky block, gamerfleet, anshu bisht, GamerBlox, kick a lucky block, foltyn, caylus, gamerfleet roblox, kid friendly, family friendly, grow a garden, steal a brainrot, 99 nights in the forest, blox fruit, roblox rivals, gamerfleet playing brainrots, brainrots, minecraft, brookhaven rp, notgamerfleet roblox, slime rng, keyboard escape, rivals roblox, balisong roblox, rivals skin case pick my loadout","rivals, skin, cases, pick, loadout, roblox",https://www.youtube.com/watch?v=A9umwwTC3pQ,2026-07-09
WqODQKt6aHA,NOOBS NOT ALLOWED | NO PROMOTION,CarryisLive,2026-07-08 19:10:53,304807,13919,128,"CarryMinati, Carryminati gaming, carrisLive, Gaming, Livestream, Indian gamingpubgpubg mobile, god of war","noobs, not, allowed, promotion",https://www.youtube.com/watch?v=WqODQKt6aHA,2026-07-09
tEAB0rFPUHU,Franklin Became  PEDDI    | Got All Hanuman Powers in GTA 5 | Dhanu Dino,DHANU DINO,2026-07-07 10:30:35,299747,5569,162,No Tags,"franklin, became, peddi, got, all, hanuman, powers, gta",https://www.youtube.com/watch?v=tEAB0rFPUHU,2026-07-09
wBl25NlXH60,[Live Free Fire New Rank Season Rank Push Live !!,VISHNU RAJPUT GAMING,2026-07-08 11:29:07,293153,8181,2,No Tags,"live, free, fire, rank, season, push",https://www.youtube.com/watch?v=wBl25NlXH60,2026-07-09
vSM0810vgT8,DOMINATION ARENA S1 ~ PQ DAY 3  @JONATHANGAMINGYT @clutchgod960 @S8ULGG @goblinbgmi,Rising Esports,2026-07-08 15:20:55,285079,6023,0,No Tags,"domination, arena, day, jonathangamingyt, clutchgod960, s8ulgg, goblinbgmi",https://www.youtube.com/watch?v=vSM0810vgT8,2026-07-09
M8l_q6Mby-I,"Ve Junoon (From ""Awarapan 2"")",Mithoon - Topic,2026-07-07 05:41:20,282544,8836,0,"Mithoon, Sayeed Quadri, Subodhh Sharma, Ve Junoon, Ve Junoon (From ""Awarapan 2"")","junoon, awarapan",https://www.youtube.com/watch?v=M8l_q6Mby-I,2026-07-09
P0qWs86by6A,ROBLOX GET KICKED BY TITANS IN ROBLOX !!,Shivang Mini,2026-07-08 10:16:06,279127,8309,5218,"roblox, shivang mini, roblox hindi, gaming with shivang 2.0, roblox gaming, Shivang mini, eat your friend, roblox shivang mini, tung tung tung sahur, PRETENDING TO BE A NOOB, usa, caylus blox, I PLAYED CRICKET IN ROBLOX !!, HACK VAULTS FOR BRAINROT IN ROBLOX !!, EVOLVE CLONES FOR BRAINROT IN ROBLOX !!, ROBLOX +1 WEAPON EVOLUTION !!, I USED ADMIN COMMANDS TO TROLL NOOBS IN ROBLOX ESCAPE THE KEYBOARD !!, ROBLOX GET KICKED BY TITANS IN ROBLOX !!","roblox, get, kicked, titans",https://www.youtube.com/watch?v=P0qWs86by6A,2026-07-09
W6ekzrtQBlY,4k #Video | #Raushan Rohi |       | Ft. #Muskan KT | Jija Ji Aah | New #Maghi Hit Song,Raushan Rohi Entertainment,2026-07-08 10:10:32,276953,21939,2062,"Raushan Rohi, raushan rohi new, raushan rohi new gana, raushan rohi song new, जीजा जी आह, raushan rohi song, raushan rohi ka naya gana, jija ji aah, muskan kt, muskan kt new video, raushan rohi ka gana, raushan rohi new video, raushan rohi new maghi song, new maghi song, jija ji aah raushan rohi, raushan rohi gana, raushan rohi new song, maghi hit song, raushan rohi entertainment, jija ji jija ji raushan rohi","raushan, rohi, muskan, jija, aah, maghi, hit",https://www.youtube.com/watch?v=W6ekzrtQBlY,2026-07-09
